title,Directed by,Produced by,Written by,Starring,Music by,Based on,Cinematography,Screenplay by,Edited by,Production company,Production companies,Distributed by,Story by,Narrated by,Release date,Running time,Country,Language,Budget,Box office
The Terminal,Steven Spielberg,"['Walter F. Parkes', 'Laurie MacDonald', 'Steven Spielberg']",,"['Tom Hanks', 'Catherine Zeta-Jones', 'Stanley Tucci', 'Chi McBride', 'Diego Luna']",John Williams,,Janusz Kamiński,"['Sacha Gervasi', 'Jeff Nathanson']",Michael Kahn,"['Amblin Entertainment', 'Parkes/MacDonald Productions']",,DreamWorks Pictures,"['Andrew Niccol', 'Sacha Gervasi']",,"['June18,2004 ( 2004-06-18 )']",128 minutes,United States,"English, Bulgarian",$60 million [1],$219.4 million [1]
Elvis Has Left the Building,Joel Zwick [1],"['Sharon Harel', 'Tova Laiter', 'Jane Barclay', 'Susanne Bohnet', 'Nava Levin', 'Manfred D. Heid', 'Gerd Koechlin', 'Josef Lautenschlager', 'Hannah Leader', 'Andreas Thiesmeyer']","['Mitchell Ganem', 'Adam-Michael Garber']","['John Corbett', 'Kim Basinger', 'Annie Potts', 'Sean Astin', 'Mike Starr', 'Phill Lewis', 'Denise Richards', 'Philip Charles MacKenzie', 'Tom Hanks']",David Kitay,,Paul Elliott,,Heather Persons,"['Capitol Films', 'Equity Pictures Medienfonds GmbH & Co. KG']",,Lionsgate,,,"August 27, 2004",90 minutes,United States,English,$11.5 million,
The Polar Express,Robert Zemeckis,"['Steve Starkey', 'Robert Zemeckis', 'Gary Goetzman', 'William Teitler']",,Tom Hanks,Alan Silvestri,"['The Polar Express', 'by', 'Chris Van Allsburg']","['Don Burgess', 'Robert Presley']","['Robert Zemeckis', 'William Broyles Jr.']","['R. Orlando Duenas', ""Jeremiah O'Driscoll""]","['Castle Rock Entertainment [1]', 'Shangri-La Entertainment [1]', 'ImageMovers [1]', 'Playtone [1]', 'Golden Mean Productions [1]']",,Warner Bros. Pictures [1],,,"['November7,2004 ( 2004-11-07 ) ( Chicago International Film Festival )', 'November10,2004 ( 2004-11-10 ) (United States)']",100 minutes [2],United States,English,$165 million [2] [3],"['$286 million', '[4]', '(original release)', '$313.5 million', '[2]', '(all releases)']"
Magnificent Desolation:Walking on the Moon 3D,Mark Cowen,"['Mark Cowen', 'Tom Hanks', 'Gary Goetzman', 'Mark Herzog']","['Mark Cowen', 'Tom Hanks', 'Christopher G. Cowen']","['Tom Hanks', 'Paul Newman', 'Morgan Freeman', 'Scott Glenn', 'Matt Damon', 'Gary Sinise']",Blake Neely,,Sean MacLeod Phillips,,Billy Shinski,Playtone,,IMAX,,,"September23,2005 ( 2005-09-23 )",40 minutes,United States,English,$3 million [1],"$40,339,402 [2]"
The Da Vinci Code,Ron Howard,"['Brian Grazer', 'John Calley']",,"['Tom Hanks', 'Audrey Tautou', 'Ian McKellen', 'Alfred Molina', 'Jürgen Prochnow', 'Paul Bettany', 'Jean Reno']",Hans Zimmer,"['The Da Vinci Code', 'by', 'Dan Brown']",Salvatore Totino,Akiva Goldsman,"['Dan Hanley', 'Mike Hill']",,"['Columbia Pictures', 'Imagine Entertainment', 'Skylark Productions', 'Government of Malta']",Sony Pictures Releasing,,,"['May17,2006 ( 2006-05-17 ) ( Cannes )', 'May19,2006 ( 2006-05-19 ) (United States)']",149 minutes [1],United States,English,$125 million [2],$760 million [2]
Cars,John Lasseter,Darla K. Anderson,,"['Owen Wilson', 'Paul Newman', 'Bonnie Hunt', 'Larry the Cable Guy']",Randy Newman,,"['Jeremy Lasky', 'Jean Claude Kalache']","['Dan Fogelman', 'John Lasseter', 'Joe Ranft', 'Kiel Murray', 'Phil Lorin', 'Jorgen Klubien']",Ken Schretzmann,"['Walt Disney Pictures', 'Pixar Animation Studios']",,Buena Vista Pictures Distribution,"['John Lasseter', 'Joe Ranft', 'Jorgen Klubien']",,"[""May26,2006 ( 2006-05-26 ) ( Lowe's Motor Speedway )"", 'June9,2006 ( 2006-06-09 ) (United States)']",117 minutes [1],United States,English,$120 million [1],$462 million [1]
The Ant Bully,John A. Davis,"['Tom Hanks', 'Gary Goetzman', 'John A. Davis']",,"['Julia Roberts', 'Nicolas Cage', 'Meryl Streep', 'Paul Giamatti']",John Debney,"['The Ant Bully', 'by John Nickle']",,John A. Davis,Jon Price,,"['Legendary Pictures', 'Playtone', 'DNA Productions']",Warner Bros. Pictures,,,"['July28,2006 ( 2006-07-28 )']",88 minutes [1],United States,English,$50 million [1],$55.2 million [1]
Starter for 10,Tom Vaughan,"['Tom Hanks', 'Pippa Harris']",David Nicholls,"['James McAvoy', 'Alice Eve', 'Rebecca Hall', 'Charles Dance', 'Lindsay Duncan']",Blake Neely,Starter for Ten by David Nicholls,Ashley Rowe,,Heather Persons,"['Playtone', 'HBO Films', 'BBC Films', 'Neal Street Productions']",,Icon Film Distribution,,,['10November2006 ( 2006-11-10 )'],92 minutes,United Kingdom,English,,"$1,736,394 [1]"
Evan Almighty,Tom Shadyac,"['Tom Shadyac', 'Gary Barber', 'Roger Birnbaum', 'Neal H. Moritz', 'Michael Bostick']",,"['Steve Carell', 'Morgan Freeman', 'Lauren Graham', 'John Goodman', 'John Michael Higgins', 'Jimmy Bennett', 'Wanda Sykes']",John Debney,"['Characters', 'by', 'Steve Koren', ""Mark O'Keefe""]",Ian Baker,Steve Oedekerk,Scott Hill,"['Spyglass Entertainment', 'Relativity Media', 'Shady Acres Entertainment', 'Original Film']",,Universal Pictures,"['Steve Oedekerk', 'Joel Cohen', 'Alec Sokolow']",,"['June22,2007 ( 2007-06-22 )']",96 minutes [1],United States,English,$175 million,$173.4 million
Charlie Wilson's War,Mike Nichols,"['Tom Hanks', 'Gary Goetzman']",,"['Tom Hanks', 'Julia Roberts', 'Philip Seymour Hoffman', 'Amy Adams', 'Ned Beatty']",James Newton Howard,"[""Charlie Wilson's War"", 'by', 'George Crile']",Stephen Goldblatt,Aaron Sorkin,"['John Bloom', 'Antonia Van Drimmelen']","['Relativity Media', 'Participant Productions', 'Playtone']",,Universal Pictures,,,"['December21,2007 ( 2007-12-21 )']",100 minutes,United States,English,$75 million,$119.5 million [1]
The Simpsons Movie,David Silverman,"['James L. Brooks', 'Matt Groening', 'Al Jean', 'Mike Scully', 'Richard Sakai']",,"['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright', 'Yeardley Smith', 'Hank Azaria', 'Harry Shearer', 'Pamela Hayden', 'Tress MacNeille', 'A. Brooks']",Hans Zimmer,"['The Simpsons', 'by Matt Groening']",,"['James L. Brooks', 'Matt Groening', 'Al Jean', 'Ian Maxtone-Graham', 'George Meyer', 'David Mirkin', 'Mike Reiss', 'Mike Scully', 'Matt Selman', 'John Swartzwelder', 'Jon Vitti']",John Carnochan,,"['Gracie Films [1]', '20th Century Fox Animation [2]']",20th Century Fox [1],,,"['July21,2007 ( 2007-07-21 ) ( Springfield )', 'July27,2007 ( 2007-07-27 ) (United States)']",86 minutes [3],United States,English,$75 million [4],$536.4 million [4]
Mamma Mia,Phyllida Lloyd,"['Judy Craymer', 'Gary Goetzman']",,"['Meryl Streep', 'Pierce Brosnan', 'Colin Firth', 'Stellan Skarsgård', 'Julie Walters', 'Dominic Cooper', 'Amanda Seyfried', 'Christine Baranski']","['Benny Andersson', 'Björn Ulvaeus']","['Mamma Mia!', 'by Catherine Johnson']",Haris Zambarloukos,Catherine Johnson,Lesley Walker,"['Relativity Media', 'Littlestar Productions', 'Playtone']",,Universal Pictures,,,"['June30,2008 ( 2008-06-30 ) ( Leicester Square )', 'July10,2008 ( 2008-07-10 ) (United Kingdom)', 'July17,2008 ( 2008-07-17 ) (Germany)', 'July18,2008 ( 2008-07-18 ) (United States)']",108 minutes,"['United Kingdom', 'Germany', 'United States [1]']",English,$52 million [2],$615.7 million [2]
City of Ember,Gil Kenan,"['Gary Goetzman', 'Tom Hanks', 'Steven Shareshian', 'Seth Hanchett']",Caroline Thompson,"['Saoirse Ronan', 'Mary Kay Place', 'Bill Murray', 'Martin Landau', 'Toby Jones', 'Tim Robbins']",Andrew Lockington,"['The City of Ember', 'by', 'Jeanne DuPrau']",Xavier Pérez Grobet,,"['Adam P. Scott', 'Zach Staenberg']","['Walden Media', 'Playtone']",,20th Century Fox,,,"['October10,2008 ( 2008-10-10 )']",95 minutes,United States,English,$55 million [1],$17.9 million [1]
The Great Buck Howard,Sean McGinly,"['Tom Hanks', 'Rita Wilson', 'Gary Goetzman']",Sean McGinly,"['John Malkovich', 'Colin Hanks', 'Emily Blunt', 'Ricky Jay', 'Griffin Dunne', 'Steve Zahn', 'Tom Hanks']",Blake Neely,,Tak Fujimoto,,Myron I. Kerstein,"['Playtone', 'Walden Media', 'Bristol Bay Productions']",,Magnolia Pictures,,,"['January18,2008 ( 2008-01-18 ) ( Sundance )', 'March20,2009 ( 2009-03-20 ) (United States) [1]']",90 minutes,United States,English,,$1 million [2]
My Life in Ruins,Donald Petrie,"['Michelle Chydzik', 'Nathalie Marciano']",Mike Reiss,"['Nia Vardalos', 'Richard Dreyfuss', 'María Adánez', 'Sheila Bernette', 'María Botto', 'Rachel Dratch', 'Alexis Georgoulis', 'Ralph Nossek', 'Bernice Stegers', 'Harland Williams']","['David Newman', 'David Mullen']",,José Luis Alcaine,,Patrick J. Don Vito,"['26 Films', 'Playtone']",,"['Fox Searchlight Pictures', 'Echo Bridge Entertainment', 'Hollywood Entertainment']",,,"['May7,2009 ( 2009-05-07 ) (Greece)', 'June5,2009 ( 2009-06-05 ) (United States)']",95 minutes,"['United States', 'Greece', 'Spain']","['English', 'Greek']",$17 million [1],$20.5 million [2]
Angels & Demons,Ron Howard,"['Brian Grazer', 'Ron Howard', 'John Calley']","['David Koepp', 'Akiva Goldsman']","['Tom Hanks', 'Ewan McGregor', 'Ayelet Zurer', 'Stellan Skarsgård', 'Pierfrancesco Favino', 'Nikolaj Lie Kaas', 'Armin Mueller-Stahl']",Hans Zimmer,"['Angels & Demons', 'by', 'Dan Brown']",Salvatore Totino,,"['Dan Hanley', 'Mike Hill']",,"['Columbia Pictures', 'Imagine Entertainment', 'Skylark Productions', 'Panorama Film Studios']",Sony Pictures Releasing,,,"['May4,2009 ( 2009-05-04 ) ( Rome )', 'May15,2009 ( 2009-05-15 ) (United States)']",138 minutes [1],United States,English,$150 million [2],$485.9 million [3]
